catalogNumber,id,bloque,regla,campos,valores,severidad,destino
1128,677406,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
113,677408,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1131,677410,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1134,677413,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1136,677415,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1137,677416,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
114,677419,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1141,677421,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1142,677422,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1149,677429,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
115,677430,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
1150,677431,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1159,677440,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1163,677445,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1164,677446,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1168,677450,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1169,677451,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1174,677457,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1175,677458,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1187,677471,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1188,677472,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1191,677476,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1192,677477,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1196,677481,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
1198,677483,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Sucumbíos,informativa,propio
153,677852,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
19,678285,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
20,678397,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2116,678527,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2117,678528,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2118,678529,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2119,678530,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2120,678532,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2121,678533,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2122,678534,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2123,678535,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2124,678536,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2125,678537,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2126,678538,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2127,678539,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2128,678540,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2129,678541,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2130,678543,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2131,678544,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2132,678545,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2133,678546,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2134,678547,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2135,678548,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2136,678549,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2137,678550,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2138,678551,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2139,678552,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2140,678554,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2141,678555,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2142,678556,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2143,678557,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2144,678558,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2145,678559,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2146,678560,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2147,678561,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2148,678562,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2149,678563,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2150,678565,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2151,678566,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2152,678567,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2153,678568,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2154,678569,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2155,678570,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2156,678571,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2157,678572,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2158,678573,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2159,678574,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2160,678576,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2161,678577,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2162,678578,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2163,678579,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2164,678580,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2165,678581,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2166,678582,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2167,678583,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2168,678584,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2169,678585,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2170,678587,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2171,678588,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2172,678589,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2173,678590,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2174,678591,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2175,678592,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2176,678593,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2177,678594,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2178,678595,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2179,678596,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2180,678598,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2181,678599,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2182,678600,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2183,678601,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2184,678602,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2185,678603,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2186,678604,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2187,678605,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2188,678606,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2189,678607,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2190,678609,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2191,678610,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2192,678611,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2193,678612,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2194,678613,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2195,678614,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2196,678615,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Esmeraldas,informativa,propio
2351,678788,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2352,678789,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2353,678790,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2354,678791,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2355,678792,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2356,678793,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2357,678794,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2358,678795,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2359,678796,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2360,678798,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2361,678799,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2362,678800,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2363,678801,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2364,678802,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2383,678823,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2384,678824,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2385,678825,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2386,678826,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2387,678827,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2388,678828,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2389,678829,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2390,678831,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2391,678832,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2392,678833,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2393,678834,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2394,678835,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2395,678836,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2396,678837,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2397,678838,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2398,678839,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2399,678840,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2400,678843,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2545,679003,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2546,679004,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2547,679005,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2548,679006,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2549,679007,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2551,679010,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2552,679011,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Pastaza,informativa,propio
2553,679012,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2554,679013,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2555,679014,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2556,679015,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2557,679016,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2558,679017,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2559,679018,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2560,679020,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2561,679021,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2562,679022,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2563,679023,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2564,679024,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2565,679025,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2566,679026,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2567,679027,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2568,679028,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2569,679029,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2570,679031,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2571,679032,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2572,679033,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2573,679034,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2574,679035,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2575,679036,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2576,679037,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2577,679038,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2578,679039,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2579,679040,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2580,679042,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2581,679043,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2582,679044,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2585,679047,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2586,679048,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2587,679049,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2588,679050,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2589,679051,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2590,679053,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2591,679054,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2592,679055,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2593,679056,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2594,679057,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2595,679058,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2596,679059,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2597,679060,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2598,679061,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2599,679062,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2600,679065,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2601,679066,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2602,679067,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2603,679068,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
2604,679069,geografia,"canton homonimo de su provincia (verificado, no es error)",county | stateProvince,Orellana,informativa,propio
